Iceland,0.972
Switzerland,0.970
Norway,0.970
Denmark,0.962
Sweden,0.959
Germany,0.959
Netherlands,0.955
Belgium,0.951
Ireland,0.949
Finland,0.948
United Kingdom,0.946
Liechtenstein,0.938
Slovenia,0.931
Austria,0.930
Malta,0.924
Luxembourg,0.922
France,0.920
Spain,0.918
San Marino,0.915
Italy,0.915
Czech Republic,0.915
Cyprus,0.913
Andorra,0.913
Greece,0.908
Poland,0.906
Estonia,0.905
Lithuania,0.895
Portugal,0.890
Latvia,0.889
Croatia,0.889
Slovakia,0.880
Hungary,0.870
Montenegro,0.862
Turkey,0.853
Romania,0.845
Bulgaria,0.845
Georgia,0.844
Kazakhstan,0.837
Serbia,0.833
Russia,0.832
Belarus,0.824
North Macedonia,0.815
Armenia,0.811
Albania,0.810
Bosnia and Herzegovina,0.804
Azerbaijan,0.789
Moldova,0.785
Ukraine,0.779
Kosovo,0
Monaco,0
